t,accel_raw,gyro_raw,kalman_angle
2.1699998,-0.012182633,-0.18292683,4.996847
2.18,-0.0107365325,-0.06097561,5.3200707
2.19,-0.0107365325,-0.06097561,5.6866913
2.2,-0.010268588,-0.30487806,5.976566
2.21,-0.00977964,-0.18292683,6.4067025
2.22,-0.010248544,-0.18292683,6.921651
2.23,-0.012212387,-0.24390244,7.50954
2.24,-0.0117239375,-0.18292683,8.278995
2.25,-0.014683233,-0.06097561,9.312383
2.26,-0.00783146,-0.12195122,10.589496
2.27,-0.008810344,-0.06097561,12.302365
2.28,-0.011251971,-0.30487806,14.501799
2.29,-0.012188572,-0.18292683,17.82356
2.3,-0.009281609,-0.06097561,23.167965
2.31,-0.013189269,-0.24390244,32.830246
2.32,-0.010273611,0.0,56.226204
2.33,-0.009295232,-0.12195122,187.7211
2.34,-0.010278639,-0.12195122,-143.4527
2.35,-0.011729667,-0.06097561,-52.46933
2.36,-0.010228576,-0.18292683,-32.344505
2.37,-0.009290686,-0.06097561,-23.459969
2.3799999,-0.011279561,-0.12195122,-18.533455
2.3899999,-0.011229997,-0.24390244,-15.440901
2.3999999,-0.008788836,-0.24390244,-13.27274
2.4099998,-0.010253547,-0.12195122,-11.654036
2.4199998,-0.011251971,-0.12195122,-10.43411
2.44,-0.01174689,-0.18292683,-9.5116
2.45,-0.010268588,-0.12195122,-8.728076
2.46,-0.011741144,-0.18292683,-8.131628
2.47,-0.010741774,-0.12195122,-7.59874
2.49,-0.01222433,-0.06097561,-7.1365094
2.51,-0.009268027,-0.06097561,-6.718939
2.52,-0.011208108,-0.06097561,-6.380161
2.53,-0.009308893,-0.12195122,-6.103741
2.54,-0.012713252,-0.12195122,-5.89403
2.55,-0.010268588,-0.30487806,-5.783855
2.56,-0.011262991,-0.24390244,-5.666611
2.57,-0.011729667,-0.06097561,-5.4787393
2.58,-0.010720837,-0.12195122,-5.3400197
2.59,-0.010273611,-15.609756,-12.9646225
2.6,-0.012242287,-0.24390244,-11.955337
2.61,-0.012236295,-0.18292683,-11.049045
2.62,-0.0107365325,-0.06097561,-10.191202
2.6299999,-0.009290686,-0.12195122,-9.468164
2.6399999,-0.011274032,-0.12195122,-8.855399
2.6499999,-0.010752274,-0.24390244,-8.385522
2.6599998,-0.00977486,-0.18292683,-7.9466953
2.6699998,-0.011219041,-15.609756,-15.479327
2.6799998,-0.011240974,-0.18292683,-14.350239
2.69,-0.011712495,-0.18292683,-13.38085
2.7,-0.010268588,-0.12195122,-12.511198
2.71,-0.009299781,-0.06097561,-11.733402
2.72,-0.007793315,-0.24390244,-11.16181
2.73,-0.012212387,-0.18292683,-10.682242
2.74,-0.012206425,0.0,-10.199035
2.75,-0.010268588,-0.12195122,-9.863148
2.76,-0.00977964,-0.18292683,-9.6398
2.77,-0.012236295,-0.24390244,-9.536466
2.78,-0.012242287,-0.12195122,-9.439337
2.79,-0.012276169,-0.18292683,-9.45008
2.8,-0.011705151,-0.24390244,-9.565692
2.81,-0.009760548,-0.24390244,-9.751374
2.82,-0.009268027,-0.12195122,-9.955419
2.83,-0.01174689,-0.18292683,-10.299564
2.84,-0.010747022,-0.12195122,-10.717945
2.85,-0.009295232,-0.06097561,-11.232565
2.86,-0.0127008315,-0.12195122,-11.951641
2.87,-0.012206425,-0.24390244,-12.9418745
2.8799999,-0.010268588,-0.12195122,-14.132104
2.8899999,-0.010278639,-0.12195122,-15.698295
2.8999999,-0.009286146,-0.06097561,-17.774038
2.9099998,-0.010773334,0.0,-20.645147
2.9199998,-0.009552467,-0.18292683,-25.021057
2.9299998,-0.009556617,-0.06097561,-31.93821
2.9399998,-0.007400823,-0.24390244,-44.866985
2.95,-0.013711187,-0.06097561,-75.87779
2.96,-0.013195716,-0.30487806,-259.1919
2.97,-0.009990979,-0.24390244,178.96886
2.98,-0.011718214,-0.12195122,66.09209
3.0,-0.011735403,-0.18292683,40.405262
3.01,-0.0117239375,-0.18292683,29.058502
3.02,-0.009286146,-0.12195122,22.745462
3.03,-0.009286146,-0.18292683,18.688879
3.04,-0.00830059,-0.12195122,15.920457
3.06,-0.010752274,-0.18292683,13.839783
3.07,-0.00879313,-0.18292683,12.279332
3.08,-0.007819978,-0.06097561,11.123336
3.09,-0.00977964,0.0,10.204966
3.1,-0.011729667,-0.30487806,9.291711
3.11,-0.011240974,-0.24390244,8.56823
3.12,-0.009760548,-0.06097561,8.063151
3.1299999,-0.01026357,-0.06097561,7.630996
3.1399999,-0.011735403,-0.12195122,7.2199664
3.1499999,-0.01222433,-0.06097561,6.8933444
3.1599998,-0.0107365325,-0.18292683,6.564659
3.1699998,-0.010288711,0.0,6.375168
3.1799998,-0.010253547,-0.12195122,6.1518645
3.1899998,-0.010248544,-0.18292683,5.9294753
3.1999998,-0.010720837,-0.06097561,5.7957916
3.21,-0.010253547,-0.24390244,5.594674
3.22,-0.009794006,-0.24390244,5.42659
3.23,-0.009304335,-0.18292683,5.3189263
3.25,-0.0117239375,-0.24390244,5.183859
3.26,-0.011219041,-0.06097561,5.1689153
3.27,-0.011240974,-0.06097561,5.16531
3.28,-0.011775707,15.365854,13.024654
3.29,-0.010283673,-0.12195122,12.160139
3.3,-0.013202166,-0.18292683,11.370325
3.31,-0.010747022,-0.12195122,10.742295
3.32,-0.010762794,-0.12195122,10.213045
3.33,-0.0088406345,-0.30487806,9.689707
3.34,-0.01124647,-0.12195122,9.336698
3.35,-0.009755788,-0.18292683,9.034522
3.36,-0.007827628,-0.12195122,8.845291
3.37,-0.011208108,-0.06097561,8.733786
3.3799999,-0.010243543,-0.18292683,8.623658
3.3899999,-0.008324979,-0.12195122,8.618559
3.3999999,-0.009318023,-0.24390244,8.604315
3.4099998,-0.0117239375,-0.30487806,8.613714
3.4199998,-0.009765315,-0.18292683,8.768115
3.4299998,-0.00927255,-0.06097561,9.059547
3.4399998,-0.013221561,-0.06097561,9.409551
3.4499998,-0.010752274,-0.12195122,9.821641
3.46,-0.010268588,-0.24390244,10.269754
3.47,-0.012260297,-0.24390244,10.834541
3.48,-0.011224517,-0.30487806,11.517188
3.49,-0.0107365325,-0.12195122,12.487062
3.5,-0.00829654,-15.609756,5.004468
3.51,-0.008806035,-0.12195122,6.5090475
3.52,-0.012206425,-0.12195122,8.216739
3.53,-0.009122249,-0.30487806,10.155794
3.56,-0.009286146,-0.06097561,12.798976
3.57,-0.0121767,-0.12195122,16.414917
3.58,-0.01081039,0.0,22.03486
3.59,-0.010762794,-0.12195122,32.004086
3.6,-0.010278639,-0.36585367,55.794537
3.61,-0.009751031,-0.12195122,202.03065
3.6299999,-0.01321509,-0.30487806,-129.5363
3.6399999,-0.011235482,-0.18292683,-49.527992
3.6499999,-0.01423566,-0.24390244,-30.831827
3.6599998,-0.0107365325,-0.06097561,-22.336048
3.6699998,-0.008308705,-0.12195122,-17.487553
3.6799998,-0.019352423,-0.36585367,-14.62861
3.6899998,-0.011649958,-0.30487806,-12.513696
3.6999998,-0.02197985,-0.36585367,-11.117758
3.7099998,-0.029679555,-0.36585367,-10.145457
3.72,-0.01818875,-0.18292683,-9.172612
3.73,-0.008814659,-0.6097561,-8.491596
